tip	date	distance	residual
Mauritius_27284_BLACK-RIVER_LOCAL_2025-03-26	2025.2301369863014	1.1388805010179975E-4	-1.9821760282447582E-4
Mauritius_26816_PAMPLEMOUSSES_LOCAL_2025-03-22	2025.2191780821918	1.1388805010179975E-4	-1.9236326084306083E-4
Mauritius_27010_LOCAL_2025-03-24	2025.2246575342465	1.2518095010179974E-4	-1.8399753183376833E-4
Mauritius_62581_RIVIERE_DU_REMPART_LOCAL_2025-06-02	2025.4164383561645	1.2787575010179974E-4	-2.837537165067543E-4
Reunion_EPI_ISL_19902358_2025-01-21	2025.054794520548	2.902501501017997E-4	7.181396887660964E-5
Reunion_EPI_ISL_19902439_2025-03-30	2025.2410958904109	2.902501501017997E-4	-2.7709844805668836E-5
Reunion_EPI_ISL_19902463_2025-03-24	2025.2246575342465	2.8907095010179964E-4	-2.0107531833768433E-5
Mauritius_65594_PLAINE_WILHEMS_LOCAL_2025-06-08	2025.4328767123288	1.2613415010179975E-4	-2.9427682947887675E-4
Mauritius_37313_BLACK-RIVER_LOCAL_2025-04-02	2025.2493150684932	1.2405165010179973E-4	-1.98299101291619E-4
Mauritius_60924_BLACK_RIVER_LOCAL_2025-05-24	2025.3917808219178	3.028262501017997E-4	-9.563094704890369E-5
Mauritius_48889_PLAINE_WILHEMS_LOCAL_2025-05-09	2025.3506849315067	2.1159375010179978E-4	-1.6490966461893045E-4
Mauritius_62209_BLACK_RIVER_LOCAL_2025-05-30	2025.4082191780822	1.2014135010179975E-4	-2.8709736002080407E-4
Mauritius_37322_PAMPLEMOUSSES_LOCAL_2025-03-31	2025.2438356164384	1.1901205010179975E-4	-2.0041153030113352E-4
Mauritius_45208_PLAINEWILHEMS_LOCAL_2025-04-18	2025.2931506849316	2.986259501017997E-4	-4.714216921705694E-5
Mauritius_36519_LOCAL_2025-03-27	2025.2328767123288	2.705150498982003E-4	-4.3054188523317994E-5
Mayotte_EPI_ISL_19902273_2025-04-10	2025.2712328767122	2.705150498982003E-4	-6.354438545782637E-5
