Virus name	Genotype	Accession ID
hChikV/Madagascar/AMU-00002/2006	II-ECSA	EPI_ISL_17454872
hChikV/France/un-AMU-00008/2017	II-ECSA	EPI_ISL_17454873
hChikV/France/un-AMU-00001/2006	II-ECSA	EPI_ISL_17454874
hChikV/Italy/un-AMU-00005/2007	II-ECSA	EPI_ISL_17454875
hChikV/Italy/un-AMU-00004/2007	II-ECSA	EPI_ISL_17454876
hChikV/Mayotte/AMU-00003/2006	II-ECSA	EPI_ISL_17454877
hChikV/Gabon/AMU-00006/2007	II-ECSA	EPI_ISL_17454878
hChikV/China/BJ-BIME-00002/2010	II-ECSA	EPI_ISL_17454968
hChikV/India/un-BVDU-1474/2016	II-ECSA	EPI_ISL_17455007
hChikV/Brazil/un-IMB-38ccf2a8/2015	II-ECSA	EPI_ISL_17455026
hChikV/Tanzania/IMB-1b941621/1953	II-ECSA	EPI_ISL_17455027
hChikV/China/YN-CDCST-GD134/2010	II-ECSA	EPI_ISL_17455031
hChikV/China/YN-CDCST-GD115/2010	II-ECSA	EPI_ISL_17455032
hChikV/China/YN-CDCST-19RL51/2019	II-ECSA	EPI_ISL_17455033
hChikV/China/YN-CDCST-19RL50/2019	II-ECSA	EPI_ISL_17455037
hChikV/China/YN-CDCST-19RL05/2019	II-ECSA	EPI_ISL_17455049
hChikV/China/YN-CDCST-GD139/2010	II-ECSA	EPI_ISL_17455064
hChikV/China/YN-CDCST-GD113/2010	II-ECSA	EPI_ISL_17455065
hChikV/Thailand/CU-BK1764/2019	II-ECSA	EPI_ISL_17455103
hChikV/Thailand/CU-BK809/2018	II-ECSA	EPI_ISL_17455335
hChikV/Thailand/CU-BK1278/2019	II-ECSA	EPI_ISL_17455375
ChikV/un/Tanzania/CDC-00001/1953	II-ECSA	EPI_ISL_17455457
hChikV/Gabon/CIRMF-GA12/2010	II-ECSA	EPI_ISL_17455484
hChikV/Gabon/CIRMF-GA/2007	II-ECSA	EPI_ISL_17455485
hChikV/Gabon/CIRMF-GA3/2010	II-ECSA	EPI_ISL_17455486
hChikV/Cameroon/CPC-13V3/2013	II-ECSA	EPI_ISL_17455487
